country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2008,94,36,188,24,1,0,50,3,18,414
Algeria,2008,22,4,72,0,0,0,5,0,4,107
Australia,2008,0,0,1,2,0,0,0,0,0,3
Austria,2008,0,0,0,6,0,0,0,1,0,7
Azerbaijan,2008,0,0,2,0,0,0,0,0,0,2
Bahrain,2008,0,0,1,0,0,0,0,0,0,1
Bangladesh,2008,5,0,10,1,0,0,2,1,0,19
Belarus,2008,0,0,1,0,0,0,0,0,0,1
Bhutan,2008,0,0,3,0,0,0,0,0,0,3
Bosnia-Herzegovina,2008,0,0,3,1,0,0,0,0,0,4
Bulgaria,2008,0,1,1,0,0,0,0,0,0,2
Burundi,2008,4,0,3,0,0,0,0,0,0,7
Cambodia,2008,1,0,0,0,0,0,0,1,0,2
Cameroon,2008,0,0,0,0,0,0,1,0,0,1
Canada,2008,1,0,3,0,0,0,0,1,0,5
Central African Republic,2008,1,1,0,0,0,0,0,0,0,2
Chad,2008,3,0,2,0,0,0,0,0,3,8
Chile,2008,0,0,4,0,0,0,0,0,0,4
China,2008,4,0,14,1,1,0,0,0,0,20
Colombia,2008,12,12,84,11,0,0,10,0,4,133
Croatia,2008,0,0,2,0,0,0,0,0,0,2
Czech Republic,2008,0,0,1,0,0,0,0,1,0,2
Democratic Republic of the Congo,2008,13,0,3,0,0,0,1,0,3,20
Denmark,2008,1,0,0,0,0,0,0,0,0,1
East Timor,2008,0,0,0,0,0,0,1,0,0,1
Ecuador,2008,0,0,0,0,0,0,1,0,1,2
Egypt,2008,0,0,0,0,0,0,1,0,0,1
Eritrea,2008,0,0,1,0,0,0,0,0,1,2
Ethiopia,2008,0,0,6,0,0,0,1,0,1,8
Finland,2008,0,0,0,1,0,0,0,0,0,1
France,2008,0,0,10,2,0,0,0,1,0,13
Georgia,2008,6,3,22,1,0,0,1,0,0,33
Germany,2008,1,0,1,1,0,0,0,0,0,3
Greece,2008,0,0,12,40,0,0,1,0,0,53
Guyana,2008,3,0,0,0,0,0,0,0,0,3
Hong Kong,2008,0,0,0,0,0,0,0,1,0,1
Hungary,2008,1,0,0,1,0,0,0,0,0,2
India,2008,163,12,257,22,4,3,62,2,9,534
Indonesia,2008,0,1,12,0,0,0,0,0,0,13
Iran,2008,1,0,3,0,0,0,2,0,2,8
Iraq,2008,164,68,830,0,0,0,39,0,5,1106
Ireland,2008,0,0,3,2,0,0,0,0,0,5
Israel,2008,9,0,124,0,0,0,0,1,0,134
Italy,2008,0,0,0,0,0,0,1,1,0,2
Japan,2008,0,0,2,1,0,0,0,0,0,3
Kazakhstan,2008,0,0,1,0,0,0,0,0,0,1
Kenya,2008,9,0,1,1,0,0,0,0,0,11
Kosovo,2008,2,0,9,0,0,0,0,0,0,11
Lebanon,2008,21,2,29,4,0,0,2,0,0,58
Liberia,2008,1,0,0,0,0,0,0,0,0,1
Libya,2008,0,0,0,0,1,0,0,0,0,1
Macedonia,2008,4,0,3,2,0,0,0,0,0,9
Malaysia,2008,0,0,2,0,0,0,0,0,0,2
Maldives,2008,0,1,0,0,0,0,0,0,0,1
Mali,2008,4,0,3,0,0,0,2,0,0,9
Mauritania,2008,1,0,0,0,0,0,1,0,0,2
Mexico,2008,1,0,4,0,0,0,2,0,1,8
Myanmar,2008,1,0,19,0,0,0,0,0,0,20
Nepal,2008,20,2,65,4,0,0,18,1,10,120
Netherlands,2008,0,0,0,1,0,0,0,0,0,1
New Zealand,2008,0,0,1,0,0,0,0,4,0,5
Niger,2008,1,0,1,0,0,0,7,0,0,9
Nigeria,2008,18,1,18,5,2,0,29,1,2,76
Pakistan,2008,120,19,295,42,3,2,74,3,10,568
Peru,2008,0,0,0,0,1,0,0,0,0,1
Philippines,2008,76,12,107,34,0,0,32,0,15,276
Romania,2008,1,0,0,0,0,0,0,0,0,1
Russia,2008,58,13,88,8,0,0,2,0,1,170
Rwanda,2008,0,0,1,0,0,0,0,0,0,1
Senegal,2008,1,0,1,0,0,0,0,0,0,2
Serbia,2008,2,0,2,0,0,0,0,0,0,4
Somalia,2008,61,17,66,2,1,0,18,0,7,172
South Africa,2008,0,0,1,0,0,0,0,0,0,1
Spain,2008,1,0,32,4,0,0,0,0,0,37
Sri Lanka,2008,29,4,59,1,0,0,4,1,2,100
Sudan,2008,18,1,2,0,2,0,6,0,3,32
Swaziland,2008,0,0,3,0,0,0,0,0,0,3
Sweden,2008,0,0,1,0,0,0,0,0,0,1
Syria,2008,0,0,1,0,0,0,0,0,0,1
Taiwan,2008,0,0,0,0,0,0,1,0,0,1
Tanzania,2008,1,0,0,0,0,0,0,0,0,1
Thailand,2008,97,7,74,17,0,0,0,1,4,200
Tunisia,2008,0,0,0,0,0,0,2,0,0,2
Turkey,2008,4,0,24,1,0,0,3,0,0,32
Uganda,2008,2,0,1,0,0,0,4,0,0,7
Ukraine,2008,0,0,1,0,0,0,0,0,0,1
United Kingdom,2008,3,0,12,22,0,0,0,2,0,39
United States,2008,2,0,2,12,0,0,0,2,0,18
Venezuela,2008,0,0,1,0,0,0,0,0,0,1
West Bank and Gaza Strip,2008,19,1,32,8,0,0,1,2,0,63
Yemen,2008,4,1,16,0,0,0,1,0,0,22
